TipodeArma;Cantidad
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma blanca;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
Arma de Fuego;1
